ID	DepMap
SNU8	ACH-000460
SNU1196	ACH-000461
NALM1	ACH-000462
NCIH460	ACH-000463
CAS1	ACH-000464
SKMEL1	ACH-000465
SNU216	ACH-000466
HCC56	ACH-000467
PK45H	ACH-000468
YH13	ACH-000469
SW1463	ACH-000470
LI7	ACH-000471
HSC2	ACH-000472
RT112	ACH-000473
HUH1	ACH-000475
JHH4	ACH-000476
MALME3M	ACH-000477
SNU387	ACH-000478
KNS81	ACH-000479
HUH7	ACH-000480
NCIH2170	ACH-000481
RERFLCKJ	ACH-000482
SNU182	ACH-000483
VMRCRCW	ACH-000484
GSU	ACH-000485
KU1919	ACH-000486
F36P	ACH-000487
TE11	ACH-000488
SW1116	ACH-000489
SF767	ACH-000490
NCIH716	ACH-000491
SNU423	ACH-000493
OELE	ACH-000494
TUHR4TKB	ACH-000495
NCIH1792	ACH-000496
KO52	ACH-000498
CHLA99	ACH-001035
COGE352	ACH-001038
SNU46	ACH-000500
LS123	ACH-000501
TCCPAN2	ACH-000502
BICR16	ACH-000503
SNB75	ACH-000504
RKN	ACH-000505
NCIH146	ACH-000506
KE39	ACH-000507
CORL88	ACH-000508
HUT78	ACH-000509
NCIH1299	ACH-000510
CALU1	ACH-000511
INA6	ACH-000512
SNU1272	ACH-000513
NCIH1092	ACH-000514
HCC33	ACH-000515
CAL78	ACH-000516
SNU410	ACH-000517
CAL33	ACH-000518
VAL	ACH-001703
59M	ACH-000520
NCIH2030	ACH-000521
UMUC3	ACH-000522
NCIH1184	ACH-000523
KURAMOCHI	ACH-000524
NCIH2171	ACH-000525
HS821T	ACH-000526
OVISE	ACH-000527
ABC1	ACH-000528
T173	ACH-000529
DMS114	ACH-000530
RS5	ACH-000531
SNU61	ACH-000532
NCIH2004RT	ACH-000533
WSUDLCL2	ACH-000534
BXPC3	ACH-000535
MCF10A	ACH-001357
SNU761	ACH-000537
HUTU80	ACH-000538
HS618T	ACH-000539
HS606T	ACH-000540
KMS34	ACH-000541
HEYA8	ACH-000542
SNU489	ACH-000543
OE21	ACH-000544
VMCUB1	ACH-000545
HSC4	ACH-000546
HT1197	ACH-000547
BHY	ACH-000548
SNU1076	ACH-000549
IGR39	ACH-000550
K562	ACH-000551
HT29	ACH-000552
SQ1	ACH-000553
HCC1187	ACH-000111
A498	ACH-000555
SIHA	ACH-000556
AML193	ACH-000557
A172	ACH-000558
NCIH1836	ACH-000559
ECC10	ACH-000560
HCC78	ACH-000562
EBC1	ACH-000563
KHM1B	ACH-000564
RCM1	ACH-000565
SW1710	ACH-000566
ST486	ACH-000567
T47D	ACH-000147
ISTMES1	ACH-000569
YKG1	ACH-000570
T98G	ACH-000571
G361	ACH-000572
MDAMB436	ACH-000573
FUOV1	ACH-000574
HCC364	ACH-000575
KMS27	ACH-000576
JHH2	ACH-000577
HCC1171	ACH-000578
UACC257	ACH-000579
C32	ACH-000580
SNU16	ACH-000581
COLO741	ACH-000582
JVM2	ACH-000106
JHOS4	ACH-000584
EPLC272H	ACH-000585
NCIH1876	ACH-000586
NCIH1975	ACH-000587
KMS26	ACH-000588
NCIH1437	ACH-000589
NCIH2073	ACH-000590
LN235	ACH-000591
TM31	ACH-000592
BC3C	ACH-000593
DMS153	ACH-000594
LN229	ACH-000595
LCLC97TM1	ACH-000596
TTC709	ACH-000597
KMS21BM	ACH-000598
PATU8902	ACH-000599
SLR26	ACH-000600
MIAPACA2	ACH-000601
M07E	ACH-000602
